payment_id,user_id,loan_id,limit_payment_dt,payment_date,payment_method,hash_card,issue_bank,payment_amount
1,3,6,2023-05-20,2023-08-19,Cash,2298106694523871,BBVA,475.0
2,4,2,2023-03-11,2023-01-12,Debit Card,3573234539022869,BBVA,189.0
3,8,10,2023-08-01,2023-03-30,Cash,4978763984748651267,Banamex,735.0
4,5,1,2023-06-05,2023-03-11,Cash,4316475747284821,Santander,4093.0
5,7,5,2023-01-07,2023-07-09,Cash,379874840799853,BBVA,265.0
6,6,9,2023-07-01,2023-04-06,Debit Card,3584685823114117,BBVA,2495.0
7,4,8,2023-05-08,2023-08-19,Debit Card,213124058618308,Banamex,712.0
8,4,7,2023-07-04,2023-02-20,Cash,4333512860663222,Banamex,3853.0
9,8,8,2023-08-24,2023-03-13,Debit Card,30398213755301,BBVA,1014.0
10,5,6,2023-08-24,2023-04-26,Debit Card,4239269488419892,Banamex,2818.0
11,8,4,2023-04-24,2023-06-03,Debit Card,36147158258423,Santander,2299.0
12,1,3,2023-03-14,2023-02-22,Debit Card,4216779010998,Azteka,4087.0
13,8,3,2023-05-22,2023-06-23,Debit Card,2280872472924496,Azteka,2962.0
14,2,3,2023-04-17,2023-04-10,Debit Card,378745742945680,Santander,4638.0
15,6,10,2023-07-22,2023-02-28,Cash,3584105518781955,Banamex,1640.0
16,3,1,2023-04-29,2023-04-24,Debit Card,4205794232729,Azteka,1606.0
17,4,4,2023-03-07,2023-03-06,Debit Card,3576457454108549,Azteka,308.0
18,3,4,2023-07-08,2023-08-09,Cash,3556910465248898,Azteka,4458.0
19,8,10,2023-08-10,2023-03-27,Cash,4038854726169,BBVA,3903.0
20,5,5,2023-05-01,2023-04-08,Cash,676149651371,Santander,871.0
21,2,1,2023-03-17,2023-05-29,Debit Card,6011072641384741,Santander,4076.0
22,7,6,2023-04-29,2023-07-21,Cash,2302633027196731,Santander,1690.0
23,7,4,2023-07-24,2023-07-03,Debit Card,36956472347773,Banamex,3934.0
24,5,2,2023-01-31,2023-07-30,Debit Card,4894808547074441052,BBVA,2409.0
25,9,3,2023-06-29,2023-01-11,Debit Card,503863910116,BBVA,2725.0
26,5,6,2023-04-30,2023-02-03,Debit Card,4840464422788061,Azteka,3114.0
27,9,1,2023-08-01,2023-04-20,Debit Card,6011560896963912,Santander,2910.0
28,1,1,2023-08-19,2023-06-01,Debit Card,4628365120998944,Santander,3566.0
29,6,1,2023-03-31,2023-03-22,Cash,676399046074,Banamex,2428.0
30,5,6,2023-07-02,2023-01-18,Debit Card,4624797617829139154,Azteka,2547.0
31,7,1,2023-03-30,2023-02-21,Debit Card,213158182124338,Azteka,3806.0
32,2,4,2023-02-28,2023-06-23,Debit Card,38609425997123,Azteka,2195.0
33,7,5,2023-04-18,2023-06-09,Cash,4439909305919251752,Santander,2707.0
34,2,6,2023-05-03,2023-05-11,Cash,6526053483560679,BBVA,3529.0
35,4,8,2023-07-07,2023-04-02,Cash,4885775333675225336,Azteka,3874.0
36,9,1,2023-05-12,2023-03-01,Cash,568936940457,Banamex,4001.0
37,3,7,2023-08-14,2023-08-10,Debit Card,372873546675729,BBVA,4943.0
38,6,7,2023-05-05,2023-01-27,Cash,4535166929347396,Banamex,4846.0
39,5,10,2023-06-30,2023-05-04,Cash,676252982241,Santander,4654.0
40,4,8,2023-03-04,2023-07-08,Debit Card,213176080449151,BBVA,2002.0
41,9,8,2023-06-27,2023-07-09,Debit Card,213161431204711,Azteka,1789.0
42,3,1,2023-04-29,2023-07-05,Debit Card,3581426563194255,Azteka,3821.0
43,2,1,2023-08-23,2023-03-03,Debit Card,4821166276237599,Santander,4324.0
44,9,6,2023-01-20,2023-02-11,Debit Card,3535018978014207,BBVA,1684.0
45,5,7,2023-01-10,2023-06-20,Cash,4316469038920797,Azteka,2591.0
46,2,5,2023-01-19,2023-05-23,Cash,2254417642339597,Santander,3988.0
47,1,6,2023-02-04,2023-04-07,Debit Card,180098790132878,Santander,878.0
48,7,1,2023-02-17,2023-01-03,Debit Card,4469871116504531,Azteka,2642.0
49,4,6,2023-04-21,2023-02-20,Cash,6541421701214091,Santander,802.0
50,2,3,2023-01-05,2023-02-14,Cash,30459862010628,Banamex,297.0
51,10,7,2023-06-25,2023-02-14,Cash,501804652136,Azteka,422.0
52,6,7,2023-06-27,2023-01-02,Cash,30160547903076,Banamex,4779.0
53,3,7,2023-03-06,2023-05-23,Debit Card,4747371256357,Azteka,3892.0
54,6,3,2023-05-01,2023-05-18,Cash,30473811359069,BBVA,4144.0
55,9,4,2023-01-13,2023-06-19,Debit Card,372037828131054,Azteka,1220.0
56,1,4,2023-02-14,2023-01-10,Debit Card,4878598242174120,Banamex,4561.0
